2025-05-05 22:31:17 [INFO] Monitor de desempenho inicializado. Logs em: results\run_20250505_223117
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: close_short_manual | PnL: 6.66
2025-05-05 22:31:19 [INFO] Trade registrado: open_long | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: close_long_manual | PnL: 3.40
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: close_short_manual | PnL: 17.92
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: close_short_manual | PnL: 4.38
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: close_short_manual | PnL: 18.73
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: close_short_manual | PnL: -4.97
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:19 [INFO] Trade registrado: close_short_manual | PnL: 1.72
2025-05-05 22:31:19 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: close_short_manual | PnL: 3.99
2025-05-05 22:31:20 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: take_profit_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: open_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
2025-05-05 22:31:20 [INFO] Trade registrado: stop_loss_short | PnL: 0.00
